playerID,deathYear,deathMonth,deathDay,deathCountry,deathState,deathCity
aardsda01,NA,NA,NA,NA,NA,NA
aaronha01,2021,1,22,USA,GA,Atlanta
aaronto01,1984,8,16,USA,GA,Atlanta
aasedo01,NA,NA,NA,NA,NA,NA
abadan01,NA,NA,NA,NA,NA,NA
abadfe01,NA,NA,NA,NA,NA,NA
abadijo01,1905,5,17,USA,NJ,Pemberton
abbated01,1957,1,6,USA,FL,Fort Lauderdale
abbeybe01,1962,6,11,USA,VT,Colchester
abbeych01,1926,4,27,USA,CA,San Francisco
abbotco01,NA,NA,NA,NA,NA,NA
abbotda01,1930,2,13,USA,MI,Ottawa Lake
abbotfr01,1935,6,11,USA,CA,Los Angeles
abbotgl01,NA,NA,NA,NA,NA,NA
abbotje01,NA,NA,NA,NA,NA,NA
abbotji01,NA,NA,NA,NA,NA,NA
abbotku01,NA,NA,NA,NA,NA,NA
abbotky01,NA,NA,NA,NA,NA,NA
abbotod01,1933,4,13,USA,DC,Washington
abbotpa01,NA,NA,NA,NA,NA,NA
aberal01,1993,5,20,USA,OH,Garfield Heights
abercda01,1939,11,11,USA,PA,Philadelphia
abercre01,NA,NA,NA,NA,NA,NA
abernbi01,2006,2,19,USA,CA,Yucaipa
abernbr01,NA,NA,NA,NA,NA,NA
abernte01,2001,11,16,USA,NC,Charlotte
abernte02,2004,12,16,USA,NC,Gastonia
abernwo01,1994,12,5,USA,KY,Louisville
aberscl01,1973,6,23,USA,CA,Vallejo
ablesha01,1951,2,8,USA,TX,San Antonio
abnersh01,NA,NA,NA,NA,NA,NA
abramca01,1997,2,25,USA,FL,Fort Lauderdale
abramcj01,NA,NA,NA,NA,NA,NA
abramge01,1986,12,5,USA,FL,Clearwater
abregjo01,NA,NA,NA,NA,NA,NA
abreual01,NA,NA,NA,NA,NA,NA
abreubo01,NA,NA,NA,NA,NA,NA
abreubr01,NA,NA,NA,NA,NA,NA
abreujo01,1993,3,17,USA,CA,Hayward
abreujo02,NA,NA,NA,NA,NA,NA
abreuju01,NA,NA,NA,NA,NA,NA
abreuto01,NA,NA,NA,NA,NA,NA
abreuwi01,NA,NA,NA,NA,NA,NA
abstebi01,1940,4,8,USA,MO,St. Louis
accarje01,NA,NA,NA,NA,NA,NA
aceveal01,NA,NA,NA,NA,NA,NA
acevedo01,NA,NA,NA,NA,NA,NA
acevejo01,NA,NA,NA,NA,NA,NA
aceveju01,NA,NA,NA,NA,NA,NA
achteaj01,NA,NA,NA,NA,NA,NA
ackerji01,NA,NA,NA,NA,NA,NA
ackerto01,2021,1,4,USA,PA,Narvon
ackledu01,NA,NA,NA,NA,NA,NA
acklefr01,2002,5,22,USA,MN,Duluth
acostcy01,NA,NA,NA,NA,NA,NA
acosted01,NA,NA,NA,NA,NA,NA
acostjo01,1977,11,16,Cuba,La Habana,La Habana
acostma01,NA,NA,NA,NA,NA,NA
acostme01,1963,11,17,USA,FL,Miami
acrema01,NA,NA,NA,NA,NA,NA
actama99,NA,NA,NA,NA,NA,NA
acunaro01,NA,NA,NA,NA,NA,NA
adairbi99,2002,6,17,USA,AL,Bay Minette
adairje01,1987,5,31,USA,OK,Tulsa
adairji01,1982,12,9,USA,TX,Farmers Branch
adamecr01,NA,NA,NA,NA,NA,NA
adamewi01,NA,NA,NA,NA,NA,NA
adamja01,NA,NA,NA,NA,NA,NA
adamsac01,2006,2,26,USA,GA,Albany
adamsau01,NA,NA,NA,NA,NA,NA
adamsau02,NA,NA,NA,NA,NA,NA
adamsba01,1968,7,27,USA,MD,Silver Spring
adamsbe01,1940,6,24,USA,CA,Los Angeles
adamsbo01,1996,10,17,USA,PA,Lemoyne
adamsbo02,1970,3,6,USA,FL,Jacksonville
adamsbo03,1997,2,13,USA,WA,Gig Harbor
adamsbo04,NA,NA,NA,NA,NA,NA
adamsbu01,1990,9,1,USA,CA,Rancho Mirage
adamsch01,NA,NA,NA,NA,NA,NA
adamsda01,1964,10,6,USA,MO,St. Louis
adamsda02,NA,NA,NA,NA,NA,NA
adamsdi01,2016,9,14,USA,CA,Fallbrook
adamsdo01,NA,NA,NA,NA,NA,NA
adamsge01,1920,10,11,USA,WA,Clarkston
adamsgl01,NA,NA,NA,NA,NA,NA
adamshe01,2012,2,1,USA,OK,Tulsa
adamsji01,NA,NA,NA,NA,NA,NA
adamsjo01,1952,10,8,USA,MO,Bachelor
adamsjo02,NA,NA,NA,NA,NA,NA
adamska01,1967,9,17,USA,WA,Everett
adamsla01,NA,NA,NA,NA,NA,NA
adamsma01,NA,NA,NA,NA,NA,NA
adamsmi01,2022,5,7,USA,CO,Monument
adamsmi02,NA,NA,NA,NA,NA,NA
adamsmi03,NA,NA,NA,NA,NA,NA
adamsre01,2017,1,18,USA,CA,Fresno
adamsri01,1955,3,10,USA,TX,Paris
adamsri02,2011,10,28,USA,CA,Rancho Cucamonga
adamsri03,NA,NA,NA,NA,NA,NA
adamsru01,NA,NA,NA,NA,NA,NA
adamsry01,NA,NA,NA,NA,NA,NA
adamssp01,1989,2,24,USA,PA,Pottsville
adamssp02,1970,11,24,USA,UT,Salt Lake City
adamste01,NA,NA,NA,NA,NA,NA
adamswi01,1937,6,18,USA,NY,Albany
adamswi02,NA,NA,NA,NA,NA,NA
adcocjo01,1999,5,3,USA,LA,Coushatta
adcocna01,NA,NA,NA,NA,NA,NA
addisbo01,2016,11,15,USA,OH,Mentor
adducji01,NA,NA,NA,NA,NA,NA
adducji02,NA,NA,NA,NA,NA,NA
addybo01,1910,4,9,USA,ID,Pocatello
adelljo01,NA,NA,NA,NA,NA,NA
adenhni01,2009,4,9,USA,CA,Orange
aderhmo01,1955,3,18,USA,FL,Sarasota
adkinde01,1998,12,26,USA,CA,Santa Monica
