playerID,nameGiven
aardsda01,David Allan
aaronha01,Henry Louis
aaronto01,Tommie Lee
aasedo01,Donald William
abadan01,Fausto Andres
abadfe01,Fernando Antonio
abadijo01,John W.
abbated01,Edward James
abbeybe01,Bert Wood
abbeych01,Charles S.
abbotco01,Cory James
abbotda01,Leander Franklin
abbotfr01,Harry Frederick
abbotgl01,William Glenn
abbotje01,Jeffrey William
abbotji01,James Anthony
abbotku01,Kurt Thomas
abbotky01,Lawrence Kyle
abbotod01,Ody Cleon
abbotpa01,Paul David
aberal01,Albert Julius
abercda01,Francis Patterson
abercre01,Reginald Damascus
abernbi01,William Edward
abernbr01,Michael Brent
abernte01,Talmadge Lafayette
abernte02,Theodore Wade
abernwo01,Virgil Woodrow
aberscl01,Clifford Alexander
ablesha01,Harry Terrell
abnersh01,Shawn Wesley
abramca01,Calvin Ross
abramcj01,Paul Christopher
abramge01,George Allen
abregjo01,Johnny Ray
abreual01,Albert Enmanuel
abreubo01,Bob Kelly
abreubr01,Bryan Enrique
abreujo01,Joseph Lawrence
abreujo02,Jose Dariel
abreuju01,Juan de Dios
abreuto01,Etanislao Toni
abreuwi01,Winston Leonardo
abstebi01,William Henry
accarje01,Jeremiah Lee
aceveal01,Alfredo
acevedo01,Domingo Antonio
acevejo01,Jose Omar
aceveju01,Juan Carlos
achteaj01,Adam Joseph
ackerji01,James Justin
ackerto01,Thomas James
ackledu01,Dustin Michael
acklefr01,Florian Frederick
acostcy01,Cecilio
acosted01,Eduardo Elixbet
acostjo01,Jose
acostma01,Manuel Alcides
acostme01,Baldomero Pedro
acrema01,Mark Robert
actama99,Manuel Elias
acunaro01,Ronald Jose
adairbi99,Marion Danne
adairje01,Kenneth Jerry
adairji01,James Aubrey
adamecr01,Cristhian Pascual
adamewi01,Willy Rafael
adamja01,Jason Kendall
adamsac01,Ace Townsend
adamsau01,Austin David
adamsau02,Austin Lance
adamsba01,Charles Benjamin
adamsbe01,John Bertram
adamsbo01,Robert Burnette
adamsbo02,Robert Andrew
adamsbo03,Robert Henry
adamsbo04,Robert Melvin
adamsbu01,Elvin Clark
adamsch01,Chance
adamsda01,Daniel Leslie
adamsda02,David Lee
adamsdi01,Richard Leroy
adamsdo01,Harold Douglas
adamsge01,George Henry
adamsgl01,Glenn Charles
adamshe01,Herbert Loren
adamsji01,James J.
adamsjo01,Joseph Edward
adamsjo02,Joel Lee
adamska01,Karl Tutwiler
adamsla01,Lane Weston
adamsma01,Matthew James
adamsmi01,John Michael
adamsmi02,Robert Michael
adamsmi03,Jon Michael
adamsre01,Charles Dwight
adamsri01,Reuben Alexander
adamsri02,Ricky Lee
adamsri03,Riley Keaton
adamsru01,Russ Moore
adamsry01,Ryan Scott
adamssp01,Earl John
adamssp02,Spencer Dewey
adamste01,Terry Wayne
adamswi01,James Irvin
adamswi02,William Edward
adcocjo01,Joseph Wilbur
adcocna01,Nathan Masler
addisbo01,Robert Gordon
adducji01,James David
adducji02,Jim Charles
addybo01,Robert Edward
adelljo01,Jordon Scott
adenhni01,Nicholas James
aderhmo01,Morris Woodrow
adkinde01,John Dewey
adkindi01,Richard Earl
adkindo01,Merle Theron
adkingr01,Grady Emmett
adkinhe01,John Harry
adkinjo01,Jonathan Scott
adkinst01,Steven Thomas
adlemti01,Timothy Max
adlesda01,David George
adonjo01,Joan Manuel
adriaeh01,Ehire Enrique
afenitr01,Michael Troy
affelje01,Jeremy David
agbaybe01,Benny Peter
ageeto01,Tommie Lee
agganha01,Harry
aglerjo01,Joseph Abram
agnewsa01,Samuel Lester
agostju01,Juan Roberto
agrazda01,Dario Abdiel
aguaylu01,Luis
aguilch01,Christopher Louis
aguilje01,Jesus Alexander
aguilmi01,Miguel Armando
aguilri01,Richard Warren
aguilry01,Ryan Scott
aguirha01,Henry John
ahearch01,William H.
ahearpa01,Patrick Howard
ahmedni01,Nicholas Mark
aikenwi01,Willie Mays
aingeda01,Daniel Ray
ainsmed01,Edward Wilbur
ainswku01,Kurt Harold
aitchra01,Raleigh Leonidas
aitonge01,George Wilson
akejo01,John Leckie
akerfda01,Darrel Wayne
akerja01,Jackie Delane
akersbi01,William G.
akersje01,Albert Earl
akinke01,Keegan Lee
akiyash01,Shogo
alanirj01,Ruben
albagi01,Gibson Alberto
albaljo01,Jonathan
albanjo01,Joseph Peter
alberan01,Andrew William
alberbu01,Francis Burt
albercy01,Frederick Joseph
albergu01,Augustus Peter
alberha01,Hanser Joel
alberjo01,Jose Edgardo
alberma01,Matthew James
albieoz01,Ozhaino Jurdy Jiandro
albosed01,Edward John
albreed01,Edward Arthur
albrija01,Harold John
albural01,Alberto Jose
alburvi01,Victor
alcaljo01,Jorge Luis
alcalsa01,Santo
alcanar01,Arismendy
alcanis01,Israel
alcanra01,Raul
alcansa01,Sandy
alcanse01,Sergio Junior
alcanvi01,Victor Alfonso
alcarlu01,Angel Luis
alcocsc01,John Forbes
alderda01,Dale Leonard
aldremi01,Michael Peter
aldresc01,Scott Phillip
aldrico01,Cory Jerome
aldrija01,Jay Robert
aldrivi01,Victor
alenoch01,Charles
alexabo01,Robert Somerville
alexada01,David Dale
alexado01,Doyle Lafayette
alexaga01,Gary Wayne
alexage01,Gerald Paul
alexahu01,Hugh
alexaja01,Jason Raymond
alexama01,Matthew
alexama02,Manuel de Jesus
alexani01,William Henry
alexape01,Grover Cleveland
alexasc01,Scott Alain
alexaty01,Tyler John
alexawa01,Walter Ernest
alexyaj01,Adam John
alfarja01,Jason
alfarjo01,Jorge Mario
alfonan01,Antonio
alfoned01,Edgardo Antonio
alfonel01,Eliezer Jesus
alforan01,Anthony Joseph
alicelu01,Luis Rene
allanan01,Andrew Neal
allarbr01,Brian Marshall
allarko01,Kolby Kenneth
alldrca01,Cameron Mitchell
allenau01,Austin Michael
allenbe01,Bernard Keith
allenbo01,Robert Gilman
allenbo02,Robert
allenbo03,Robert Earl
allenbo04,Robert Gray
allenbr01,Brandon Durell
allench01,John Chad
allenco01,Cody Edward
allendi01,Richard Anthony
allendu01,Dustin R.
allenet01,Ethan Nathan
allenfr01,Frank Leon
allenga01,Gary Martin
allengr01,Gregory Lomack
allenha01,Frank Erwin
allenha02,Harold Andrew
allenhe01,Hezekiah
allenho01,Horace Tanner
allenja01,Cyrus Alban
allenja02,James Bradley
allenje01,Jermaine LaMont
allenjo01,John Marshall
allenjo02,John Thomas
allenki01,Kim Bryant
allenll01,Lloyd Cecil
allenlo01,Logan Shane
allenlu01,Lucas Gale
allenmy01,Myron Smith
allenne01,Neil Patrick
allenni01,Artemus Ward
allenni02,Nicholas Ryan
allenpe01,Jesse Hall
allenro01,Ronald Frederick
allenro02,Roderick Bernet
allensl01,Fletcher Manson
alleyge01,Leonard Eugene
allgeni01,Nicholas Joseph
alliebo01,Robert George
alliega01,Gair Roosevelt
allisan01,Andrew Kent
allisar01,Arthur Algernon
allisbi01,William
allisbo01,William Robert
allisda01,Dana Eric
allisdo01,Douglas L.
allisma01,Mack Pendleton
allismi01,Milo Henry
allrebe01,Dale LeBeau
almadme01,Baldomero Melo
almanar01,Armando
almanca01,Carlos Manuel
almeira01,Rafael D.
almonab01,Abraham
almonbi01,William Francis
almoned01,Edwin
almoner01,Erick R.
almonhe01,Hector Radhames
almonmi01,Miguel Emilio
almonye01,Yency
almonzo01,Zoilo Manuel
almoral01,Reinaldo Albert
alomalu01,Luis
alomaro01,Roberto
alomasa01,Santos
alomasa02,Santos
alonspe01,Peter Morgan
alonsyo01,Yonder
aloufe01,Felipe Rojas
alouje01,Jesus Maria Rojas
alouma01,Mateo Rojas
aloumo01,Moises Rojas
alperwh01,Charles Augustus
alstode01,Wendell
alstoga01,Garvin James
alstoto01,Thomas Edison
alstowa01,Walter Emmons
altampo01,Porfirio
altavda01,Daniel
altener01,Ernest Matthias
altenje01,Jesse Howard
altheaa01,Aaron Samuel
altizda01,David Tilden
altmage01,George Lee
altobjo01,Joseph Salvatore
altroni01,Nicholas
altuvjo01,Jose Carlos
alusige01,George Joseph
alvarab01,Abraham
alvarcl01,Clemente Rafael
alvarda01,Dario Rafael
alvarda02,Dariel
alvared01,Eduardo Cortes
alvarfr01,Francisco Javier
alvarga01,Gabriel de Jesus
alvarhe01,Henderson Javier
alvarjo01,Jose Lino
alvarjo02,Jose Ricardo
alvarjo03,Jose Antonio
alvarju01,Juan Manuel
alvarlu01,Luis Cesar
alvaror01,Jesus Manuel Orlando
alvaros01,Oswaldo
alvarpe01,Pedro Manuel
alvarrj01,Roy Emilio
alvarro01,Rogelio
alvarta01,Cesar Octavio
alvarto01,Antonio Enrique
alvarvi01,Victor Aurelio
alvarwi01,Wilson Eduardo
alvaryo01,Yordan Ruben
alvisma01,Roy Maxwell
alvorbi01,William Crawford
alyeabr01,Garrabrant Ryerson
alzolad01,Adbert Marcelo
amalfjo01,John Joseph
amarari01,Richard Louis
amarial01,Alexi Jose
amaroru01,Ruben
amaroru02,Ruben
amblewa01,Wayne Harper
ambrech01,Raymond Payne
ambrihe01,Hector
amburtr01,Tommy Wayne
amelued01,Edward Allen
amesre01,Leon Kessling
amesst01,Steven Charles
amezaal01,Alfredo
amoledo01,Morris F.
amorosa01,Edmundo
amorvi01,Vicente
anckewa01,Walter
anderal01,Alfred Walton
anderal02,Allan Lee
anderan01,Andy Holm
anderbi01,William Edward
anderbo01,Robert Carl
anderbr01,Brady Kevin
anderbr02,Brian James
anderbr03,Brian Nikola
anderbr04,Brett Franklin
anderbr05,Bryan Douglas
anderbr06,Brian Wade
anderbu01,Karl Adam
anderch01,Robert Chase
anderco01,Cody Andrew
andercr01,Norman Craig
anderda01,David S.
